rank,node_id,name,steps,hours,people_affected,substations_failed,cascade_size,hospitals_feeder_lost,hospitals_on_backup,hospitals_without_power,pumps_feeder_lost,pumps_without_water,unserved_load_mw,criticality_percentile
161,sub_003,sub_003,5,10.0,13697,1,10,8,0,8,1,1,0.0,15.79
162,sub_172,Brindavan,5,10.0,13501,1,4,3,0,3,0,0,0.0,15.26
163,sub_080,sub_080,5,10.0,13250,1,3,2,0,2,0,0,0.0,14.74
164,sub_016,Adugodi Substation,5,10.0,13229,1,7,5,0,5,1,1,0.0,14.21
165,sub_046,Electric Sub-Station,5,10.0,13161,1,10,8,0,8,1,1,0.0,13.68
166,sub_188,sub_188,5,10.0,12980,1,5,3,0,3,1,1,0.0,13.16
167,sub_087,sub_087,4,8.0,12754,1,3,0,0,0,2,2,0.0,12.63
168,sub_020,East Division Compound,5,10.0,12679,1,4,2,0,2,1,1,0.0,12.11
169,sub_047,A Station,5,10.0,12535,1,19,16,0,16,2,2,0.0,11.58
170,sub_081,C Station,5,10.0,12453,1,28,22,0,22,5,5,0.0,11.05
171,sub_160,sub_160,5,10.0,12209,1,6,3,0,3,2,2,0.0,10.53
172,sub_056,sub_056,5,10.0,11858,1,2,1,0,1,0,0,0.0,10.0
173,sub_023,NIMHANS Substation,5,10.0,11665,1,8,7,0,7,0,0,0.0,9.47
174,sub_062,Austin Town Substation,5,10.0,11550,1,11,9,0,9,1,1,0.0,8.95
175,sub_099,Kanteerava Stadium,5,10.0,11329,1,16,15,0,15,0,0,0.0,8.42
176,sub_078,Banaswadi Substation,5,10.0,11286,1,45,40,0,40,4,4,0.0,7.89
177,sub_015,Hoodi Substation,5,10.0,11003,1,5,4,0,4,0,0,0.0,7.37
178,sub_179,sub_179,2,4.0,10638,1,1,0,0,0,0,0,0.0,6.84
179,sub_107,East Division Compound,2,4.0,10614,1,1,0,0,0,0,0,0.0,6.32
180,sub_083,Khodays Glass Factory Substation,4,8.0,10604,1,3,0,0,0,2,2,0.0,5.79
181,sub_005,sub_005,5,10.0,9739,1,7,6,0,6,0,0,0.0,5.26
182,sub_054,sub_054,5,10.0,9378,1,6,2,0,2,3,3,0.0,4.74
183,sub_163,sub_163,5,10.0,9280,1,2,1,0,1,0,0,0.0,4.21
184,sub_177,sub_177,5,10.0,9270,1,4,3,0,3,0,0,0.0,3.68
185,sub_069,Soladevanahalli,5,10.0,8967,1,4,1,0,1,2,2,0.0,3.16
186,sub_034,Subramanyapura Substation,5,10.0,8752,1,2,1,0,1,0,0,0.0,2.63
187,sub_103,Srigandhakavalu,5,10.0,8633,1,9,6,0,6,2,2,0.0,2.11
188,sub_146,Prestige Tech Forest Substation,5,10.0,8363,1,8,7,0,7,0,0,0.0,1.58
189,sub_127,sub_127,5,10.0,8110,1,4,3,0,3,0,0,0.0,1.05
190,sub_043,Sahakar Nagara,5,10.0,8037,1,3,1,0,1,1,1,0.0,0.53
